
basketball,sports,nonliving,thesis_stim/basketball_exemplar1.jpg,0.527273,old,0.001453327
microwave,appliances,nonliving,thesis_stim/microwave_exemplar1.jpg,0.466667,old,0.005169346
loofah,tools,nonliving,thesis_stim/loofah_exemplar1.jpg,0.4,old,0.006464342
pants,clothing,nonliving,thesis_stim/pants_exemplar1.jpg,0.469388,new,0.007635925
flying insect,insect,living,thesis_stim/flying_insect_exemplar1.jpg,0.8,new,0.009820144
pagoda,building,nonliving,thesis_stim/pagoda_exemplar1.jpg,0.590909,old,0.010932112
saltshaker,kitchen_items,nonliving,thesis_stim/saltshaker_exemplar1.jpg,0.666667,old,0.012697567
helicopter,vehicle,nonliving,thesis_stim/helicopter_exemplar1.jpg,0.596154,old,0.018331868
gorilla,mammal,living,thesis_stim/gorilla_exemplar1.jpg,0.886792,old,0.019927514
eagle,birds,living,thesis_stim/eagle_exemplar1.jpg,0.78,old,0.024551768
snowflake,decor,nonliving,thesis_stim/snowflake_exemplar1.jpg,0.698113,old,0.024944929
shovel,tools,nonliving,thesis_stim/shovel_exemplar1.jpg,0.488889,old,0.025158123
record,music_inst,nonliving,thesis_stim/record_exemplar1.jpg,0.257143,new,0.035010994
camera,electronics,nonliving,thesis_stim/camera_exemplar1.jpg,0.490909,old,0.038675148
squid,sea,living,thesis_stim/squid_exemplar1.jpg,0.571429,new,0.046638479
baseball bat,sports,nonliving,thesis_stim/baseball_bat_exemplar1.jpg,0.607143,new,0.047928637
computer keyboard,electronics,nonliving,thesis_stim/computer_keyboard_exemplar1.jpg,0.457143,old,0.049194117
kayak,sports,nonliving,thesis_stim/kayak_exemplar1.jpg,0.55102,old,0.049506149
grandfather clock,furniture,nonliving,thesis_stim/grandfather_clock_exemplar1.jpg,0.444444,old,0.051546371
scanner,electronics,nonliving,thesis_stim/scanner_exemplar1.jpg,0.4,old,0.052180417
trash can,street_items,nonliving,thesis_stim/trash_can_exemplar1.jpg,0.66,new,0.054250242
outdoor table,furniture,nonliving,thesis_stim/outdoor_table_exemplar1.jpg,0.285714,old,0.0567725
gamepad,electronics,nonliving,thesis_stim/gamepad_exemplar1.jpg,0.470588,old,0.057213608
lighthouse,building,nonliving,thesis_stim/lighthouse_exemplar1.jpg,0.55102,old,0.063235407
bottle,kitchen_items,nonliving,thesis_stim/bottle_exemplar1.jpg,0.363636,old,0.063686452
rockinghorse,toys,nonliving,thesis_stim/rockinghorse_exemplar1.jpg,0.613636,old,0.065591453
church,building,nonliving,thesis_stim/church_exemplar1.jpg,0.555556,old,0.067405633
ski,sports,nonliving,thesis_stim/ski_exemplar1.jpg,0.4,old,0.068365083
merry-go-round,building,nonliving,thesis_stim/merry-go-round_exemplar1.jpg,0.938776,old,0.071142644
bicycle,vehicle,nonliving,thesis_stim/bicycle_exemplar1.jpg,0.444444,old,0.078768016
hookah,decor,nonliving,thesis_stim/hookah_exemplar1.jpg,0.714286,old,0.083888406
hairbrush,household_items,nonliving,thesis_stim/hairbrush_exemplar1.jpg,0.488889,new,0.084847691
