object,category,type,path,m_score,recognition
mallet,tools,nonliving,thesis_stim/mallet_exemplar1.jpg,0.571429,old
camera lens,electronics,nonliving,thesis_stim/camera_lens_exemplar1.jpg,0.571429,old
ironing board,household_items,nonliving,thesis_stim/ironing_board_exemplar1.jpg,0.5,old
breadbox,kitchen_items,nonliving,thesis_stim/breadbox_exemplar1.jpg,0.422222,old
grater,kitchen_items,nonliving,thesis_stim/grater_exemplar1.jpg,0.555556,old
toy,toys,nonliving,thesis_stim/toy_exemplar1.jpg,0.511111,old
tarantula,insect,living,thesis_stim/tarantula_exemplar1.jpg,0.553191,old
toy phone,toys,nonliving,thesis_stim/toy_phone_exemplar1.jpg,0.603774,old
tape,office_supplies,nonliving,thesis_stim/tape_exemplar1.jpg,0.688889,old
sarcophagus,decor,nonliving,thesis_stim/sarcophagus_exemplar1.jpg,0.689655,old
ladder,furniture,nonliving,thesis_stim/ladder_exemplar1.jpg,0.454545,old
microwave,appliances,nonliving,thesis_stim/microwave_exemplar1.jpg,0.466667,old
broom,tools,nonliving,thesis_stim/broom_exemplar1.jpg,0.305556,old
bottle,kitchen_items,nonliving,thesis_stim/bottle_exemplar1.jpg,0.363636,old
millipede,insect,living,thesis_stim/millipede_exemplar1.jpg,0.722222,old
soda machine,street_items,nonliving,thesis_stim/soda_machine_exemplar1.jpg,0.535714,old
toaster,appliances,nonliving,thesis_stim/toaster_exemplar1.jpg,0.381818,old
emu,birds,living,thesis_stim/emu_exemplar1.jpg,0.689655,old
treasure chest,decor,nonliving,thesis_stim/treasure_chest_exemplar1.jpg,0.45614,old
space heater,electronics,nonliving,thesis_stim/space_heater_exemplar1.jpg,0.408163,old
purse,clothing,nonliving,thesis_stim/purse_exemplar1.jpg,0.25,old
rollerblade,sports,nonliving,thesis_stim/rollerblade_exemplar1.jpg,0.457143,old
bench,street_items,nonliving,thesis_stim/bench_exemplar1.jpg,0.714286,old
toy xylophone,toys,nonliving,thesis_stim/toy_xylophone_exemplar1.jpg,0.277778,old
keg,furniture,nonliving,thesis_stim/keg_exemplar1.jpg,0.5,old
badminton racquet,sports,nonliving,thesis_stim/badminton_racquet_exemplar1.jpg,0.530612,old
cooking pot,kitchen_items,nonliving,thesis_stim/cooking_pot_exemplar1.jpg,0.32,old
toothbrush,household_items,nonliving,thesis_stim/toothbrush_exemplar1.jpg,0.517857,old
dress,clothing,nonliving,thesis_stim/dress_exemplar1.jpg,0.387755,old
pail,tools,nonliving,thesis_stim/pail_exemplar1.jpg,0.320755,old
wristwatch,clothing,nonliving,thesis_stim/wristwatch_exemplar1.jpg,0.436364,old
mosque,building,nonliving,thesis_stim/mosque_exemplar1.jpg,0.482143,old
toilet,furniture,nonliving,thesis_stim/toilet_exemplar1.jpg,0.609756,old
hollywood star,decor,nonliving,thesis_stim/hollywood_star_exemplar1.jpg,0.591837,old
fishtank,furniture,nonliving,thesis_stim/fishtank_exemplar1.jpg,0.82,old
