object,category,type,path,m_score,recogntion
lantern,tools,nonliving,thesis_stim/lantern_exemplar1.jpg,0.555556,new
seahorse,sea,living,thesis_stim/seahorse_exemplar1.jpg,0.94,old
hot air balloon,vehicle,nonliving,thesis_stim/hot_air_balloon_exemplar1.jpg,0.62069,new
mosque,building,nonliving,thesis_stim/mosque_exemplar1.jpg,0.482143,new
nesting dolls,toys,nonliving,thesis_stim/nesting_dolls_exemplar1.jpg,0.666667,old
computer keyboard,electronics,nonliving,thesis_stim/computer_keyboard_exemplar1.jpg,0.457143,old
muffin tin,kitchen_items,nonliving,thesis_stim/muffin_tin_exemplar1.jpg,0.48,new
scissors,office_supplies,nonliving,thesis_stim/scissors_exemplar1.jpg,0.306122,old
bench,street_items,nonliving,thesis_stim/bench_exemplar1.jpg,0.714286,old
pinata,decor,nonliving,thesis_stim/pinata_exemplar1.jpg,0.6,old
toy phone,toys,nonliving,thesis_stim/toy_phone_exemplar1.jpg,0.603774,old
packing tape,office_supplies,nonliving,thesis_stim/packing_tape_exemplar1.jpg,0.361111,old
eagle,birds,living,thesis_stim/eagle_exemplar1.jpg,0.78,new
lawnmower,appliances,nonliving,thesis_stim/lawnmower_exemplar1.jpg,0.5,old
weight bench,sports,nonliving,thesis_stim/weight_bench_exemplar1.jpg,0.545455,old
gas station,building,nonliving,thesis_stim/gas_station_exemplar1.jpg,0.527778,old
skirt,clothing,nonliving,thesis_stim/skirt_exemplar1.jpg,0.454545,old
pen,office_supplies,nonliving,thesis_stim/pen_exemplar1.jpg,0.2,old
vase,household_items,nonliving,thesis_stim/vase_exemplar1.jpg,0.5,old
percussion instrument,music_inst,nonliving,thesis_stim/percussion_instrument_exemplar1.jpg,0.527273,old
piggybank,decor,nonliving,thesis_stim/piggybank_exemplar1.jpg,0.166667,old
penguin,birds,living,thesis_stim/penguin_exemplar1.jpg,0.821429,old
ostrich,birds,living,thesis_stim/ostrich_exemplar1.jpg,0.842105,new
tambourine,music_inst,nonliving,thesis_stim/tambourine_exemplar1.jpg,0.64,new
clown,toys,nonliving,thesis_stim/clown_exemplar1.jpg,0.909091,old
toy wagon,toys,nonliving,thesis_stim/toy_wagon_exemplar1.jpg,0.693878,old
satellite dish,tools,nonliving,thesis_stim/satellitedish_exemplar1.jpg,0.24,old
kayak,sports,nonliving,thesis_stim/kayak_exemplar1.jpg,0.55102,new
car,vehicle,nonliving,thesis_stim/car_exemplar1.jpg,0.34,old
hairbrush,household_items,nonliving,thesis_stim/hairbrush_exemplar1.jpg,0.488889,old
ladder,furniture,nonliving,thesis_stim/ladder_exemplar1.jpg,0.454545,old
helicopter,vehicle,nonliving,thesis_stim/helicopter_exemplar1.jpg,0.596154,old
computer mouse,electronics,nonliving,thesis_stim/computer_mouse_exemplar1.jpg,0.578947,old
clock,household_items,nonliving,thesis_stim/clock_exemplar1.jpg,0.444444,old
shelf,furniture,nonliving,thesis_stim/shelf_exemplar1.jpg,0.477273,new
power lines,street_items,nonliving,thesis_stim/power_lines_exemplar1.jpg,0.428571,old
lion,mammal,living,thesis_stim/lion_exemplar1.jpg,0.742857,old
bowling pins,sports,nonliving,thesis_stim/bowling_pins_exemplar1.jpg,0.290909,old
congo drum,music_inst,nonliving,thesis_stim/congo_drum_exemplar1.jpg,0.52,old
raft,vehicle,nonliving,thesis_stim/raft_exemplar1.jpg,0.458333,old
cellphone,electronics,nonliving,thesis_stim/cellphone_exemplar1.jpg,0.613636,old
baseball,sports,nonliving,thesis_stim/baseball_exemplar1.jpg,0.6,old
pagoda,building,nonliving,thesis_stim/pagoda_exemplar1.jpg,0.590909,old
television,electronics,nonliving,thesis_stim/television_exemplar1.jpg,0.448276,old
measuring tape,tools,nonliving,thesis_stim/measuring_tape_exemplar1.jpg,0.344828,old
thermos,sports,nonliving,thesis_stim/thermos_exemplar1.jpg,0.551724,old
sand bucket,toys,nonliving,thesis_stim/sand_bucket_exemplar1.jpg,0.38,old
couch,furniture,nonliving,thesis_stim/couch_exemplar1.jpg,0.595745,old
tile,decor,nonliving,thesis_stim/tile_exemplar1.jpg,0.194444,old
piano,music_inst,nonliving,thesis_stim/piano_exemplar1.jpg,0.45614,old
flag,street_items,nonliving,thesis_stim/flag_exemplar1.jpg,0.38,new
oyster,sea,living,thesis_stim/oyster_exemplar1.jpg,0.758621,old
fox,mammal,living,thesis_stim/fox_exemplar1.jpg,0.66,new
backpack,clothing,nonliving,thesis_stim/backpack_exemplar1.jpg,0.408163,old
shovel,tools,nonliving,thesis_stim/shovel_exemplar1.jpg,0.488889,old
pail,tools,nonliving,thesis_stim/pail_exemplar1.jpg,0.320755,old
binder,office_supplies,nonliving,thesis_stim/binder_exemplar1.jpg,0.321429,new
telephone,electronics,nonliving,thesis_stim/telephone_exemplar1.jpg,0.526316,old
trophy,decor,nonliving,thesis_stim/trophy_exemplar1.jpg,0.3,old
surfboard,sports,nonliving,thesis_stim/surfboard_exemplar1.jpg,0.530612,old
alarm clock,household_items,nonliving,thesis_stim/alarm_clock_exemplar1.jpg,0.408163,old
sidewalk,street_items,nonliving,thesis_stim/sidewalk_exemplar1.jpg,0.8,old
pick,tools,nonliving,thesis_stim/pick_exemplar1.jpg,0.586207,new
bicycle,vehicle,nonliving,thesis_stim/bicycle_exemplar1.jpg,0.444444,old
booster seat,furniture,nonliving,thesis_stim/booster_seat_exemplar1.jpg,0.622222,old
baking pan,kitchen_items,nonliving,thesis_stim/baking_pan_exemplar1.jpg,0.4,old
space heater,electronics,nonliving,thesis_stim/space_heater_exemplar1.jpg,0.408163,old
gas can,tools,nonliving,thesis_stim/gas_can_exemplar1.jpg,0.711111,old
hut,building,nonliving,thesis_stim/hut_exemplar1.jpg,0.52,old
bucket,tools,nonliving,thesis_stim/bucket_exemplar1.jpg,0.77551,old
earthworm,insect,living,thesis_stim/earthworm_exemplar1.jpg,0.655172,new
dolphin,sea,living,thesis_stim/dolphin_exemplar1.jpg,0.795918,new
recorder,music_inst,nonliving,thesis_stim/recorder_exemplar1.jpg,0.38,old
chest,furniture,nonliving,thesis_stim/chest_exemplar1.jpg,0.48,old
teddybear,toys,nonliving,thesis_stim/teddybear_exemplar1.jpg,0.688889,new
table saw,appliances,nonliving,thesis_stim/table_saw_exemplar1.jpg,0.44898,old
violin,music_inst,nonliving,thesis_stim/violin_exemplar1.jpg,0.694444,new
shopping cart,street_items,nonliving,thesis_stim/shopping_cart_exemplar1.jpg,0.611111,old
toothbrush,household_items,nonliving,thesis_stim/toothbrush_exemplar1.jpg,0.517857,old
trash can,street_items,nonliving,thesis_stim/trash_can_exemplar1.jpg,0.66,old
cigar box,decor,nonliving,thesis_stim/cigar_box_exemplar1.jpg,0.64,old
ice bucket,kitchen_items,nonliving,thesis_stim/ice_bucket_exemplar1.jpg,0.2,old
swingset,street_items,nonliving,thesis_stim/swingset_exemplar1.jpg,0.44186,old
crayon,toys,nonliving,thesis_stim/crayon_exemplar1.jpg,0.48,old
money,household_items,nonliving,thesis_stim/money_exemplar1.jpg,0.653061,old
lighthouse,building,nonliving,thesis_stim/lighthouse_exemplar1.jpg,0.55102,new
toy xylophone,toys,nonliving,thesis_stim/toy_xylophone_exemplar1.jpg,0.277778,new
fire hydrant,street_items,nonliving,thesis_stim/fire_hydrant_exemplar1.jpg,0.42,old
gorilla,mammal,living,thesis_stim/gorilla_exemplar1.jpg,0.886792,new
dinosaur toy,toys,nonliving,thesis_stim/dinosaur_toy_exemplar1.jpg,0.714286,old
shuttlecock,sports,nonliving,thesis_stim/shuttlecock_exemplar1.jpg,0.388889,old
broom,tools,nonliving,thesis_stim/broom_exemplar1.jpg,0.305556,old
ant,insect,living,thesis_stim/ant_exemplar1.jpg,0.772727,new
chick,birds,living,thesis_stim/chick_exemplar1.jpg,0.827586,old
space shuttle,vehicle,nonliving,thesis_stim/space_shuttle_exemplar1.jpg,0.557692,old
umbrella,household_items,nonliving,thesis_stim/umbrella_exemplar1.jpg,0.340909,old
mallet,tools,nonliving,thesis_stim/mallet_exemplar1.jpg,0.571429,new
grill,furniture,nonliving,thesis_stim/grill_exemplar1.jpg,0.409091,old
magazine rack,furniture,nonliving,thesis_stim/magazine_rack_exemplar1.jpg,0.469388,old
bike helmet,clothing,nonliving,thesis_stim/bike_helmet_exemplar1.jpg,0.46,new
squid,sea,living,thesis_stim/squid_exemplar1.jpg,0.571429,old
bow tie,clothing,nonliving,thesis_stim/bow_tie_exemplar1.jpg,0.448276,old
hand mirror,household_items,nonliving,thesis_stim/hand_mirror_exemplar1.jpg,0.416667,new
snowglobe,decor,nonliving,thesis_stim/snowglobe_exemplar1.jpg,0.42,new
fairy statue,decor,nonliving,thesis_stim/fairy_statue_exemplar1.jpg,0.785714,old
slug,insect,living,thesis_stim/slug_exemplar1.jpg,0.811321,old
starfish,sea,living,thesis_stim/starfish_exemplar1.jpg,0.591837,old
wooden fence,street_items,nonliving,thesis_stim/wooden_fence_exemplar1.jpg,0.36,old
fountain,street_items,nonliving,thesis_stim/fountain_exemplar1.jpg,0.618182,old
crossbow,sports,nonliving,thesis_stim/crossbow_exemplar1.jpg,0.46,old
crow,birds,living,thesis_stim/crow_exemplar1.jpg,0.857143,new
medal,decor,nonliving,thesis_stim/medal_exemplar1.jpg,0.466667,old
chalice,decor,nonliving,thesis_stim/chalice_exemplar1.jpg,0.92,old
cross,decor,nonliving,thesis_stim/cross_exemplar1.jpg,0.790698,new
crayfish,sea,living,thesis_stim/crayfish_exemplar1.jpg,0.82,new
key,household_items,nonliving,thesis_stim/key_exemplar1.jpg,0.46,old
yoyo,toys,nonliving,thesis_stim/yoyo_exemplar1.jpg,0.58,new
sailor hat,clothing,nonliving,thesis_stim/sailor_hat_exemplar1.jpg,0.4,old
gong,music_inst,nonliving,thesis_stim/gong_exemplar1.jpg,0.314286,old
radio,electronics,nonliving,thesis_stim/radio_exemplar1.jpg,0.522727,old
rock-climbing shoe,clothing,nonliving,thesis_stim/rock-climbing_shoe_exemplar1.jpg,0.371429,old
crab,sea,living,thesis_stim/crab_exemplar1.jpg,0.638889,old
handheld vacuum,appliances,nonliving,thesis_stim/handheld_vacuum_exemplar1.jpg,0.448276,old
coin,household_items,nonliving,thesis_stim/coin_exemplar1.jpg,0.571429,old
building,building,nonliving,thesis_stim/building_exemplar1.jpg,0.388889,old
wetsuit,clothing,nonliving,thesis_stim/wetsuit_exemplar1.jpg,0.326531,old
skateboard,sports,nonliving,thesis_stim/skateboard_exemplar1.jpg,0.413793,old
hunting bow,sports,nonliving,thesis_stim/hunting_bow_exemplar1.jpg,0.607143,old
mussel,sea,living,thesis_stim/mussel_exemplar1.jpg,0.933333,new
dresser,furniture,nonliving,thesis_stim/dresser_exemplar1.jpg,0.655172,old
outdoor table,furniture,nonliving,thesis_stim/outdoor_table_exemplar1.jpg,0.285714,old
flying insect,insect,living,thesis_stim/flying_insect_exemplar1.jpg,0.8,old
grater,kitchen_items,nonliving,thesis_stim/grater_exemplar1.jpg,0.555556,old
hammock,furniture,nonliving,thesis_stim/hammock_exemplar1.jpg,0.510204,new
scotch tape,office_supplies,nonliving,thesis_stim/scotch_tape_exemplar1.jpg,0.413793,old
rolling pin,kitchen_items,nonliving,thesis_stim/rolling_pin_exemplar1.jpg,0.571429,old
taxi,vehicle,nonliving,thesis_stim/taxi_exemplar1.jpg,0.285714,old
owl,birds,living,thesis_stim/owl_exemplar1.jpg,0.816327,new
bridge,building,nonliving,thesis_stim/bridge_exemplar1.jpg,0.638298,new
air conditioner,street_items,nonliving,thesis_stim/air_conditioner_exemplar1.jpg,0.491228,old
polaroid,electronics,nonliving,thesis_stim/polaroid_exemplar1.jpg,0.407407,old
coffeemaker,appliances,nonliving,thesis_stim/coffeemaker_exemplar1.jpg,0.551724,old
joystick,electronics,nonliving,thesis_stim/joystick_exemplar1.jpg,0.636364,old
lip phone,decor,nonliving,thesis_stim/lip_phone_exemplar1.jpg,0.791667,old
lei,clothing,nonliving,thesis_stim/lei_exemplar1.jpg,0.827586,old
ferris wheel,building,nonliving,thesis_stim/ferris_wheel_exemplar1.jpg,0.482759,old
kingfisher,birds,living,thesis_stim/kingfisher_exemplar1.jpg,0.724138,old
nun,toys,nonliving,thesis_stim/nun_exemplar1.jpg,0.772727,old
bear,mammal,living,thesis_stim/bear_exemplar1.jpg,0.8,new
trowel,tools,nonliving,thesis_stim/trowel_exemplar1.jpg,0.55102,old
vcr,appliances,nonliving,thesis_stim/vcr_exemplar1.jpg,0.488889,old
q-tip,household_items,nonliving,thesis_stim/q-tip_exemplar1.jpg,0.321429,new
rubber duck,toys,nonliving,thesis_stim/rubber_duck_exemplar1.jpg,0.666667,new
pepper shaker,kitchen_items,nonliving,thesis_stim/pepper_shaker_exemplar1.jpg,0.481481,old
recycling bin,street_items,nonliving,thesis_stim/recycling_bin_exemplar1.jpg,0.583333,new
hollywood star,decor,nonliving,thesis_stim/hollywood_star_exemplar1.jpg,0.591837,new
guitar case,music_inst,nonliving,thesis_stim/guitar_case_exemplar1.jpg,0.464286,new
french press,kitchen_items,nonliving,thesis_stim/french_press_exemplar1.jpg,0.68,old
record,music_inst,nonliving,thesis_stim/record_exemplar1.jpg,0.257143,old
beach chair,furniture,nonliving,thesis_stim/beach_chair_exemplar1.jpg,0.4,old
flute,music_inst,nonliving,thesis_stim/flute_exemplar1.jpg,0.5,old
dryer,appliances,nonliving,thesis_stim/dryer_exemplar1.jpg,0.58,old
soccer ball,sports,nonliving,thesis_stim/soccerball_exemplar1.jpg,0.477272727,old
record player,music_inst,nonliving,thesis_stim/record_player_exemplar1.jpg,0.508772,old
fez,clothing,nonliving,thesis_stim/fez_exemplar1.jpg,0.5,old
keg,furniture,nonliving,thesis_stim/keg_exemplar1.jpg,0.5,old
old camera,electronics,nonliving,thesis_stim/old_camera_exemplar1.jpg,0.310345,new
boar,mammal,living,thesis_stim/boar_exemplar1.jpg,0.68,old
canteen,tools,nonliving,thesis_stim/canteen_exemplar1.jpg,0.482143,old
sled,vehicle,nonliving,thesis_stim/sled_exemplar1.jpg,0.321429,old
dumbbell,sports,nonliving,thesis_stim/dumbbell_exemplar1.jpg,0.510204,new
balloon,toys,nonliving,thesis_stim/balloon_exemplar1.jpg,0.446429,new
cash register,office_supplies,nonliving,thesis_stim/cash_register_exemplar1.jpg,0.62,old
crib,furniture,nonliving,thesis_stim/crib_exemplar1.jpg,0.3,old
salmon,sea,living,thesis_stim/salmon_exemplar1.jpg,0.533333,new
sewing machine,appliances,nonliving,thesis_stim/sewing_machine_exemplar1.jpg,0.444444,new
belt,clothing,nonliving,thesis_stim/belt_exemplar1.jpg,0.653061,old
dress,clothing,nonliving,thesis_stim/dress_exemplar1.jpg,0.387755,old
arch,building,nonliving,thesis_stim/arch_exemplar1.jpg,0.6,old
shrimp,sea,living,thesis_stim/shrimp_exemplar1.jpg,0.890909,new
bulldog,mammal,living,thesis_stim/bulldog_exemplar1.jpg,0.773585,old
grandfather clock,furniture,nonliving,thesis_stim/grandfather_clock_exemplar1.jpg,0.444444,old
computer monitor,electronics,nonliving,thesis_stim/computer_monitor_exemplar1.jpg,0.448276,old
file cabinet,furniture,nonliving,thesis_stim/file_cabinet_exemplar1.jpg,0.5,old
beetle,insect,living,thesis_stim/beetle_exemplar1.jpg,0.745455,new
cigar,household_items,nonliving,thesis_stim/cigar_exemplar1.jpg,0.625,old
geode,decor,nonliving,thesis_stim/geode_exemplar1.jpg,0.814815,old
toaster,appliances,nonliving,thesis_stim/toaster_exemplar1.jpg,0.381818,old
bassoon,music_inst,nonliving,thesis_stim/bassoon_exemplar1.jpg,0.642857,new
emu,birds,living,thesis_stim/emu_exemplar1.jpg,0.689655,old
religious statue,decor,nonliving,thesis_stim/religious_statue_exemplar1.jpg,0.342857,old
basketball,sports,nonliving,thesis_stim/basketball_exemplar1.jpg,0.527273,old
syringe,tools,nonliving,thesis_stim/syringe_exemplar1.jpg,0.6,old
greenhouse,building,nonliving,thesis_stim/greenhouse_exemplar1.jpg,0.886364,old
washing machine,appliances,nonliving,thesis_stim/washing_machine_exemplar1.jpg,0.48,old
dragonfly,insect,living,thesis_stim/dragonfly_exemplar1.jpg,0.75,old
sarcophagus,decor,nonliving,thesis_stim/sarcophagus_exemplar1.jpg,0.689655,new
rope,tools,nonliving,thesis_stim/rope_exemplar1.jpg,0.642857,old
flower pot,household_items,nonliving,thesis_stim/flower_pot_exemplar1.jpg,0.577778,old
waffle iron,appliances,nonliving,thesis_stim/waffle_iron_exemplar1.jpg,0.451613,old
fondue fork,kitchen_items,nonliving,thesis_stim/fondue_fork_exemplar1.jpg,0.581395,old
canoe,vehicle,nonliving,thesis_stim/canoe_exemplar1.jpg,0.367347,old
rainboot,clothing,nonliving,thesis_stim/rainboot_exemplar1.jpg,0.321429,new
calculator,electronics,nonliving,thesis_stim/calculator_exemplar1.jpg,0.28,new
jukebox,music_inst,nonliving,thesis_stim/jukebox_exemplar1.jpg,0.54386,old
washboard,tools,nonliving,thesis_stim/washboard_exemplar1.jpg,0.367347,old
cricket,insect,living,thesis_stim/cricket_exemplar1.jpg,0.727273,new
church,building,nonliving,thesis_stim/church_exemplar1.jpg,0.555556,old
shopping bag,tools,nonliving,thesis_stim/shopping_bag_exemplar1.jpg,0.326531,old
camcorder,electronics,nonliving,thesis_stim/camcorder_exemplar1.jpg,0.265306,old
strainer,tools,nonliving,thesis_stim/strainer_exemplar1.jpg,0.42,old
elliptical,sports,nonliving,thesis_stim/elliptical_exemplar1.jpg,0.428571,old
compass,tools,nonliving,thesis_stim/compass_exemplar1.jpg,0.275862,new
bee,insect,living,thesis_stim/bee_exemplar1.jpg,0.586207,old
sandpaper,tools,nonliving,thesis_stim/sandpaper_exemplar1.jpg,0.509091,old
wagon wheel,vehicle,nonliving,thesis_stim/wagon_wheel_exemplar1.jpg,0.4,old
scorpion,insect,living,thesis_stim/scorpion_exemplar1.jpg,0.9,new
octopus,sea,living,thesis_stim/octopus_exemplar1.jpg,0.930233,old
ski,sports,nonliving,thesis_stim/ski_exemplar1.jpg,0.4,old
picnic table,street_items,nonliving,thesis_stim/picnic_table_exemplar1.jpg,0.574074,old
camera,electronics,nonliving,thesis_stim/camera_exemplar1.jpg,0.490909,old
amplifier,electronics,nonliving,thesis_stim/amplifier_exemplar1.jpg,0.166667,new
sugar shaker,kitchen_items,nonliving,thesis_stim/sugar_shaker_exemplar1.jpg,0.44898,old
clarinet,music_inst,nonliving,thesis_stim/clarinet_exemplar1.jpg,0.734694,new
manatee,mammal,living,thesis_stim/manatee_exemplar1.jpg,0.52,old
haircomb,clothing,nonliving,thesis_stim/haircomb_exemplar1.jpg,0.777778,old
kettle,kitchen_items,nonliving,thesis_stim/kettle_exemplar1.jpg,0.413793,old
cabin,building,nonliving,thesis_stim/cabin_exemplar1.jpg,0.489796,old
wrench,tools,nonliving,thesis_stim/wrench_exemplar1.jpg,0.553571,new
ray,sea,living,thesis_stim/ray_exemplar1.jpg,0.821429,new
radio tower,building,nonliving,thesis_stim/radio_tower_exemplar1.jpg,0.711111,new
scoop,household_items,nonliving,thesis_stim/scoop_exemplar1.jpg,0.586207,old
robin,birds,living,thesis_stim/robin_exemplar1.jpg,0.92,new
spoon,kitchen_items,nonliving,thesis_stim/spoon_exemplar1.jpg,0.482759,old
loofah,tools,nonliving,thesis_stim/loofah_exemplar1.jpg,0.4,old
dice,sports,nonliving,thesis_stim/dice_exemplar1.jpg,0.56,old
trumpet,music_inst,nonliving,thesis_stim/trumpet_exemplar1.jpg,0.545455,old
soda machine,street_items,nonliving,thesis_stim/soda_machine_exemplar1.jpg,0.535714,old
waterjug,kitchen_items,nonliving,thesis_stim/waterjug_exemplar1.jpg,0.48,old
whistle,tools,nonliving,thesis_stim/whistle_exemplar1.jpg,0.697674,old
